time, S, I, R
22.45,112.89,35.049,52.0609
22.5,112.692,35.0714,52.2362
22.55,112.495,35.0935,52.4116
22.6,112.298,35.1152,52.5871
22.65,112.101,35.1367,52.7627
22.7,111.904,35.1578,52.9385
22.75,111.707,35.1785,53.1143
22.8,111.511,35.1989,53.2903
22.85,111.315,35.219,53.4663
22.9,111.119,35.2388,53.6424
22.95,110.923,35.2582,53.8187
23,110.728,35.2773,53.995
23.05,110.532,35.2961,54.1715
23.1,110.338,35.3145,54.348
23.15,110.143,35.3326,54.5246
23.2,109.948,35.3503,54.7013
23.25,109.754,35.3677,54.8781
23.3,109.56,35.3848,55.055
23.35,109.366,35.4016,55.232
23.4,109.173,35.418,55.409
23.45,108.98,35.434,55.5861
23.5,108.787,35.4498,55.7633
23.55,108.594,35.4652,55.9406
23.6,108.402,35.4803,56.118
23.65,108.21,35.495,56.2954
23.7,108.018,35.5094,56.4729
23.75,107.826,35.5235,56.6505
23.8,107.635,35.5372,56.8282
23.85,107.443,35.5506,57.0059
23.9,107.253,35.5637,57.1837
23.95,107.062,35.5764,57.3615
24,106.872,35.5888,57.5394
24.05,106.682,35.6009,57.7174
24.1,106.492,35.6126,57.8955
24.15,106.302,35.624,58.0735
24.2,106.113,35.635,58.2517
24.25,105.924,35.6458,58.4299
24.3,105.736,35.6562,58.6081
24.35,105.547,35.6662,58.7865
24.4,105.359,35.6759,58.9648
24.45,105.171,35.6853,59.1432
24.5,104.984,35.6944,59.3217
24.55,104.797,35.7031,59.5002
24.6,104.61,35.7115,59.6787
24.65,104.423,35.7196,59.8573
24.7,104.237,35.7273,60.0359
24.75,104.051,35.7347,60.2145
24.8,103.865,35.7418,60.3932
24.85,103.68,35.7485,60.572
24.9,103.494,35.7549,60.7507
24.95,103.309,35.761,60.9295
25,103.125,35.7668,61.1083
25.05,102.941,35.7722,61.2872
25.1,102.757,35.7773,61.4661
25.15,102.573,35.7821,61.645
25.2,102.39,35.7865,61.8239
25.25,102.207,35.7906,62.0028
25.3,102.024,35.7944,62.1818
25.35,101.841,35.7979,62.3608
25.4,101.659,35.801,62.5398
25.45,101.477,35.8038,62.7188
25.5,101.296,35.8063,62.8978
25.55,101.115,35.8084,63.0768
25.6,100.934,35.8103,63.2559
25.65,100.753,35.8118,63.4349
25.7,100.573,35.813,63.614
25.75,100.393,35.8138,63.7931
25.8,100.213,35.8144,63.9721
25.85,100.034,35.8146,64.1512
25.9,99.8552,35.8145,64.3303
25.95,99.6766,35.8141,64.5094
26,99.4982,35.8133,64.6884
26.05,99.3202,35.8123,64.8675
26.1,99.1425,35.8109,65.0465
26.15,98.9652,35.8092,65.2256
26.2,98.7882,35.8072,65.4046
26.25,98.6115,35.8049,65.5837
26.3,98.4351,35.8022,65.7627
26.35,98.259,35.7993,65.9417
26.4,98.0833,35.796,66.1207
26.45,97.9079,35.7924,66.2996
26.5,97.7329,35.7885,66.4786
26.55,97.5582,35.7843,66.6575
26.6,97.3838,35.7798,66.8364
26.65,97.2097,35.7749,67.0153
26.7,97.036,35.7698,67.1942
26.75,96.8626,35.7643,67.373
26.8,96.6896,35.7586,67.5518
26.85,96.5169,35.7525,67.7306
26.9,96.3445,35.7461,67.9094
26.95,96.1725,35.7394,68.0881
27,96.0008,35.7324,68.2668
27.05,95.8295,35.7251,68.4454
27.1,95.6585,35.7175,68.624
27.15,95.4878,35.7096,68.8026
27.2,95.3175,35.7014,68.9811
27.25,95.1475,35.6929,69.1596
27.3,94.9779,35.6841,69.338
27.35,94.8086,35.675,69.5164
27.4,94.6396,35.6656,69.6948
27.45,94.471,35.6559,69.8731
27.5,94.3028,35.6459,70.0513
27.55,94.1349,35.6356,70.2295
27.6,93.9673,35.625,70.4077
27.65,93.8001,35.6141,70.5858
27.7,93.6333,35.6029,70.7638
27.75,93.4668,35.5914,70.9418
27.8,93.3006,35.5796,71.1197
27.85,93.1348,35.5676,71.2976
27.9,92.9694,35.5552,71.4754
27.95,92.8043,35.5426,71.6532
28,92.6395,35.5297,71.8308
28.05,92.4751,35.5164,72.0085
28.1,92.3111,35.5029,72.186
28.15,92.1474,35.4891,72.3635
28.2,91.984,35.4751,72.5409
28.25,91.8211,35.4607,72.7182
28.3,91.6584,35.4461,72.8955
28.35,91.4962,35.4311,73.0727
28.4,91.3343,35.4159,73.2498
28.45,91.1727,35.4004,73.4269
28.5,91.0115,35.3847,73.6038
28.55,90.8507,35.3686,73.7807
28.6,90.6902,35.3523,73.9575
28.65,90.53,35.3357,74.1342
28.7,90.3703,35.3189,74.3109
28.75,90.2109,35.3017,74.4874
28.8,90.0518,35.2843,74.6639
28.85,89.8931,35.2666,74.8403
28.9,89.7348,35.2487,75.0165
28.95,89.5768,35.2304,75.1927
29,89.4192,35.2119,75.3688
29.05,89.262,35.1932,75.5449
29.1,89.1051,35.1741,75.7208
29.15,88.9485,35.1549,75.8966
29.2,88.7924,35.1353,76.0723
29.25,88.6366,35.1155,76.248
29.3,88.4811,35.0954,76.4235
29.35,88.326,35.075,76.5989
29.4,88.1713,35.0544,76.7742
29.45,88.017,35.0336,76.9495
29.5,87.863,35.0125,77.1246
29.55,87.7093,34.9911,77.2996
29.6,87.5561,34.9695,77.4745
29.65,87.4032,34.9476,77.6493
29.7,87.2506,34.9254,77.824
29.75,87.0984,34.903,77.9985
29.8,86.9466,34.8804,78.173
29.85,86.7952,34.8575,78.3473
29.9,86.6441,34.8344,78.5216
29.95,86.4933,34.811,78.6957
30,86.343,34.7874,78.8697
30.05,86.193,34.7635,79.0435
30.1,86.0433,34.7394,79.2173
30.15,85.8941,34.715,79.3909
30.2,85.7452,34.6904,79.5645
30.25,85.5966,34.6656,79.7378
30.3,85.4484,34.6405,79.9111
30.35,85.3006,34.6151,80.0842
30.4,85.1532,34.5896,80.2573
30.45,85.0061,34.5638,80.4301
30.5,84.8593,34.5378,80.6029
30.55,84.713,34.5115,80.7755
30.6,84.567,34.485,80.948
30.65,84.4214,34.4583,81.1204
30.7,84.2761,34.4313,81.2926
30.75,84.1312,34.4041,81.4647
30.8,83.9866,34.3767,81.6366
30.85,83.8425,34.3491,81.8084
30.9,83.6986,34.3212,81.9801
30.95,83.5552,34.2931,82.1517
31,83.4121,34.2648,82.3231
31.05,83.2694,34.2363,82.4943
31.1,83.127,34.2076,82.6654
31.15,82.985,34.1786,82.8364
31.2,82.8434,34.1494,83.0072
31.25,82.7021,34.12,83.1779
31.3,82.5612,34.0904,83.3484
31.35,82.4207,34.0605,83.5188
31.4,82.2805,34.0305,83.689
31.45,82.1407,34.0002,83.8591
31.5,82.0012,33.9698,84.029
31.55,81.8621,33.9391,84.1988
31.6,81.7234,33.9082,84.3684
31.65,81.585,33.8771,84.5379
31.7,81.447,33.8458,84.7072
31.75,81.3093,33.8143,84.8763
31.8,81.172,33.7826,85.0453
31.85,81.0351,33.7507,85.2141
31.9,80.8985,33.7186,85.3828
31.95,80.7623,33.6863,85.5513
32,80.6265,33.6538,85.7197
32.05,80.491,33.6211,85.8879
32.1,80.3559,33.5882,86.0559
32.15,80.2211,33.5551,86.2238
32.2,80.0867,33.5219,86.3914
32.25,79.9526,33.4884,86.559
